time_step,step_idx,x,y,cur_x,cur_y
33,9,0.217657,0.0294468,0.0104457,6.42297e-05
33,10,0.239942,0.0363614,0.0104457,6.42297e-05
34,0,0.0110711,7.22745e-05,0.0110711,7.22745e-05
34,1,0.0344023,0.000390541,0.0110711,7.22745e-05
34,2,0.0577113,0.00145511,0.0110711,7.22745e-05
34,3,0.0809744,0.0032649,0.0110711,7.22745e-05
34,4,0.104168,0.00581806,0.0110711,7.22745e-05
34,5,0.127267,0.00911196,0.0110711,7.22745e-05
34,6,0.15025,0.0131432,0.0110711,7.22745e-05
34,7,0.173091,0.0179078,0.0110711,7.22745e-05
34,8,0.195769,0.0234007,0.0110711,7.22745e-05
34,9,0.218259,0.0296163,0.0110711,7.22745e-05
34,10,0.240539,0.0365483,0.0110711,7.22745e-05
35,0,0.0117137,8.10398e-05,0.0117137,8.10398e-05
35,1,0.0350446,0.000418055,0.0117137,8.10398e-05
35,2,0.0583528,0.00150136,0.0117137,8.10398e-05
35,3,0.0816144,0.00332984,0.0117137,8.10398e-05
35,4,0.104806,0.00590163,0.0117137,8.10398e-05
35,5,0.127903,0.0092141,0.0117137,8.10398e-05
35,6,0.150882,0.0132638,0.0117137,8.10398e-05
35,7,0.17372,0.0180467,0.0117137,8.10398e-05
35,8,0.196393,0.0235578,0.0117137,8.10398e-05
35,9,0.218878,0.0297916,0.0117137,8.10398e-05
35,10,0.241152,0.0367415,0.0117137,8.10398e-05
36,0,0.0123732,9.05657e-05,0.0123732,9.05657e-05
36,1,0.0357038,0.000446888,0.0123732,9.05657e-05
36,2,0.059011,0.00154948,0.0123732,9.05657e-05
36,3,0.0822711,0.00339721,0.0123732,9.05657e-05
36,4,0.10546,0.0059882,0.0123732,9.05657e-05
36,5,0.128554,0.00931977,0.0123732,9.05657e-05
36,6,0.15153,0.0133885,0.0123732,9.05657e-05
36,7,0.174364,0.0181903,0.0123732,9.05657e-05
36,8,0.197033,0.0237202,0.0123732,9.05657e-05
36,9,0.219513,0.0299725,0.0123732,9.05657e-05
36,10,0.241781,0.0369409,0.0123732,9.05657e-05
37,0,0.0130493,0.000100893,0.0130493,0.000100893
37,1,0.0397125,0.000530817,0.0130493,0.000100893
37,2,0.0663483,0.0018136,0.0130493,0.000100893
37,3,0.0929295,0.00394792,0.0130493,0.000100893
37,4,0.119429,0.0069316,0.0130493,0.000100893
37,5,0.145819,0.0107616,0.0130493,0.000100893
37,6,0.172073,0.015434,0.0130493,0.000100893
37,7,0.198164,0.0209439,0.0130493,0.000100893
37,8,0.224066,0.0272858,0.0130493,0.000100893
37,9,0.249751,0.0344532,0.0130493,0.000100893
37,10,0.275194,0.0424387,0.0130493,0.000100893
38,0,0.0137454,0.000112117,0.0137454,0.000112117
38,1,0.0404082,0.000565364,0.0137454,0.000112117
38,2,0.0670429,0.00187144,0.0137454,0.000112117
38,3,0.0936221,0.00402902,0.0137454,0.000112117
38,4,0.120119,0.00703588,0.0137454,0.000112117
38,5,0.146506,0.010889,0.0137454,0.000112117
38,6,0.172756,0.0155843,0.0137454,0.000112117
38,7,0.198842,0.0211171,0.0137454,0.000112117
38,8,0.224738,0.0274816,0.0137454,0.000112117
38,9,0.250417,0.0346715,0.0137454,0.000112117
38,10,0.275853,0.0426792,0.0137454,0.000112117
39,0,0.0144612,0.000124284,0.0144612,0.000124284
39,1,0.0411236,0.000601476,0.0144612,0.000124284
